Name,Ticker,Revenue,Domain,Founded,Country,City,State
Lam Research,LRCX,"$8,013,000,000",lamresearch.com,2002-05-05,US,,
Alaska Air Group,ALK,"$7,933,000,000",alaskaair.com,1995-06-12,US,,
Jones Lang LaSalle,JLL,"$7,932,000,000",jll.com,1998-11-20,US,,
Anixter International,,"$7,927,000,000",anixter.com,1992-11-09,US,,
Campbell Soup,CPB,"$7,890,000,000",campbellsoupcompany.com,2002-07-26,US,,
Interpublic Group,IPG,"$7,882,000,000",interpublic.com,1998-02-20,US,,
Dover,,"$7,830,000,000",dovercorporation.com,1997-06-03,US,,
Zimmer Biomet Holdings,ZBH,"$7,824,000,000",zimmerbiomet.com,2014-04-24,US,,
Dean Foods,,"$7,795,000,000",deanfoods.com,1997-04-04,US,,
Foot Locker,,"$7,782,000,000",footlocker-inc.com,2001-09-27,US,,
Eversource Energy,ES,"$7,752,000,000",eversource.com,1997-08-11,US,,
Alliance Data Systems,ADS,"$7,719,000,000",alliancedata.com,1996-04-23,US,,
Fifth Third Bancorp,FITB,"$7,713,000,000",53.com,1995-11-17,US,,
Quest Diagnostics,DGX,"$7,709,000,000",questdiagnostics.com,1997-10-04,US,,
EMCOR Group,,"$7,687,000,000",emcorgroup.com,1995-08-17,US,,
W.R. Berkley,WRB,"$7,684,000,000",wrberkley.com,1997-11-17,US,,
WESCO International,WCC,"$7,679,000,000",wesco.com,1990-06-25,US,,
Coty,COTY,"$7,650,000,000",coty.com,1998-10-11,US,,
WEC Energy Group,WEC,"$7,648,000,000",wecenergygroup.com,2014-06-21,US,,
Masco,MAS,"$7,644,000,000",masco.com,1995-04-18,US,,
DXC Technology,DXC,"$7,607,000,000",dxc.technology,2017-01-31,US,,
Auto-Owners Insurance,,"$7,603,000,000",auto-owners.com,1997-01-15,US,,
Jones Financial (Edward Jones),,"$7,597,000,000",edwardjones.com,1995-03-10,US,,
Liberty Media,,"$7,594,000,000",libertymedia.com,2005-11-24,US,,
Erie Insurance Group,,"$7,535,000,000",erieinsurance.com,1998-05-14,US,,
Hershey,HSY,"$7,515,000,000",thehersheycompany.com,2004-07-16,US,,
PPL,PPL,"$7,447,000,000",pplweb.com,1999-03-16,US,,
Huntington Ingalls Industries,HII,"$7,441,000,000",huntingtoningalls.com,2010-07-12,US,,
Mosaic,,"$7,409,000,000",mosaicco.com,2004-11-06,US,,
J.M. Smucker,SJM,"$7,392,000,000",jmsmucker.com,1996-08-26,US,,
Delek US Holdings,DK,"$7,349,000,000",delekus.com,2005-02-28,US,,
Newmont Mining,NEM,"$7,348,000,000",newmont.com,1992-05-25,US,,
Constellation Brands,STZ,"$7,331,000,000",cbrands.com,1997-06-10,US,,
Ryder System,R,"$7,329,000,000",ryder.com,1995-04-13,US,,
National Oilwell Varco,NOV,"$7,304,000,000",nov.com,1995-08-17,US,,
Adobe Systems,ADBE,"$7,301,000,000",adobe.com,1986-11-17,US,,
LifePoint Health,,"$7,263,000,000",lifepointhealth.net,2015-11-03,US,,
Tractor Supply,TSCO,"$7,256,000,000",tractorsupply.com,1997-09-30,US,,
Thor Industries,THO,"$7,247,000,000",thorindustries.com,1998-11-06,US,,
Dana,,"$7,209,000,000",dana.com,1993-09-09,US,,
Weyerhaeuser,WY,"$7,196,000,000",weyerhaeuser.com,1995-08-16,US,,
J.B. Hunt Transport Services,JBHT,"$7,189,000,000",jbhunt.com,1994-04-04,US,,
Darden Restaurants,DRI,"$7,170,000,000",darden.com,1997-11-03,US,,
Yum China Holdings,YUMC,"$7,144,000,000",yumchina.com,2004-01-14,US,,
Blackstone Group,BX,"$7,119,000,000",blackstone.com,1994-09-22,US,,
Berry Global Group,,"$7,095,000,000",berryglobal.com,2015-07-02,US,,
Builders FirstSource,BLDR,"$7,034,000,000",bldr.com,1998-05-26,US,,
Activision Blizzard,ATVI,"$7,017,000,000",activisionblizzard.com,2007-11-28,US,,
JetBlue Airways,JBLU,"$7,015,000,000",jetblue.com,1999-06-30,US,,
Amphenol,APH,"$7,011,000,000",amphenol.com,1996-08-28,US,,
A-Mark Precious Metals,AMRK,"$6,989,000,000",amark.com,1996-03-06,US,,
Spirit AeroSystems Holdings,SPR,"$6,983,000,000",spiritaero.com,2005-03-16,US,,
R.R. Donnelley & Sons,RRD,"$6,939,000,000",rrdonnelley.com,1995-12-13,US,,
Harris,,"$6,939,000,000",harris.com,1994-09-29,US,,
Expeditors Intl. of Washington,EXPD,"$6,920,000,000",expeditors.com,1995-11-10,US,,
Discovery,DISCA,"$6,873,000,000",discovery.com,1993-04-20,US,,
Owens-Illinois,OI,"$6,869,000,000",o-i.com,1998-03-04,US,,
Sanmina,SANM,"$6,868,000,000",sanmina.com,1995-04-22,US,,
KeyCorp,,"$6,868,000,000",key.com,1995-06-14,US,,
American Financial Group,AFG,"$6,865,000,000",afginc.com,2000-01-25,US,,
Oshkosh,,"$6,829,000,000",oshkoshcorporation.com,2002-09-08,US,,
Rockwell Collins,,"$6,822,000,000",rockwellcollins.com,1999-09-06,US,,
Kindred Healthcare,,"$6,767,000,000",kindredhealthcare.com,2000-11-01,US,,
Insight Enterprises,NSIT,"$6,703,000,000",insight.com,1995-01-05,US,,
Dr Pepper Snapple Group,,"$6,690,000,000",drpeppersnapplegroup.com,2007-10-15,US,,
American Tower,AMT,"$6,663,000,000",americantower.com,1995-10-17,US,,
Fortive,FTV,"$6,656,000,000",fortive.com,2001-04-13,US,,
Ralph Lauren,RL,"$6,652,000,000",ralphlauren.com,1996-09-25,US,,
Spectrum Brands Holdings,,"$6,650,000,000",spectrumbrands.com,1999-04-06,US,,
Ascena Retail Group,ASNAQ,"$6,649,000,000",ascenaretail.com,2010-07-15,US,,
United Rentals,URI,"$6,641,000,000",unitedrentals.com,1997-12-09,US,,
Casey’s General Stores,CASY,"$6,640,000,000",caseys.com,1996-02-02,US,,
Graybar Electric,,"$6,631,000,000",graybar.com,1995-01-06,US,,
Avery Dennison,AVY,"$6,613,000,000",averydennison.com,1993-09-24,US,,
MasTec,MTZ,"$6,607,000,000",mastec.com,1996-04-25,US,,
CMS Energy,CMS,"$6,583,000,000",cmsenergy.com,1995-07-29,US,,
HD Supply Holdings,,"$6,534,000,000",hdsupply.com,1999-03-15,US,,
Raymond James Financial,RJF,"$6,524,000,000",raymondjames.com,1998-09-23,US,,
NCR,NCR,"$6,516,000,000",ncr.com,1987-04-30,US,,
Hanesbrands,HBI,"$6,478,000,000",hanes.com,1996-04-02,US,,
Asbury Automotive Group,ABG,"$6,456,000,000",asburyauto.com,1998-06-19,US,,
Citizens Financial Group,CFG,"$6,454,000,000",citizensbank.com,1995-08-15,US,,
Packaging Corp. of America,PKG,"$6,444,000,000",packagingcorp.com,1999-03-29,US,,
Alleghany,BOAS.UN,"$6,424,000,000",alleghany.com,1995-02-05,US,,
Apache,APA,"$6,423,000,000",apachecorp.com,1996-04-24,US,,
Dillard’s,DDS,"$6,422,000,000",dillards.com,1995-04-19,US,,
Assurant,AIZ,"$6,415,000,000",assurant.com,1999-05-21,US,,
Franklin Resources,BEN,"$6,392,000,000",franklinresources.com,2004-10-15,US,,
Owens Corning,OC,"$6,384,000,000",owenscorning.com,1996-08-02,US,,
Motorola Solutions,MSI,"$6,380,000,000",motorolasolutions.com,2000-05-30,US,,
NVR,NVR,"$6,322,000,000",nvrinc.com,1999-01-14,US,,
Rockwell Automation,ROK,"$6,311,000,000",rockwellautomation.com,1997-05-11,US,,
TreeHouse Foods,THS,"$6,307,000,000",treehousefoods.com,2005-04-02,US,,
Wynn Resorts,WYNN,"$6,306,000,000",wynnresorts.com,2000-02-05,US,,
Olin,OLN,"$6,268,000,000",olin.com,1994-04-18,US,,
American Axle & Manufacturing,AXL,"$6,266,000,000",aam.com,1997-12-09,US,,
Old Republic International,ORI,"$6,263,000,000",oldrepublic.com,1998-07-16,US,,
Chemours,CC,"$6,183,000,000",chemours.com,2014-03-17,US,,
iHeartMedia,IHRT,"$6,178,000,000",iheartmedia.com,2005-03-13,US,,
Ameren,AEE,"$6,177,000,000",ameren.com,1995-10-26,US,,
Arthur J. Gallagher,AJG,"$6,159,000,000",ajg.com,1992-03-24,US,,
Celanese,CE,"$6,140,000,000",celanese.com,1996-08-20,US,,
Sealed Air,SEE,"$6,130,000,000",sealedair.com,1998-01-17,US,,
UGI,UGI,"$6,120,000,000",ugicorp.com,1995-11-08,US,,
Realogy Holdings,RLGY,"$6,114,000,000",realogy.com,1999-08-17,US,,
Burlington Stores,BURL,"$6,110,000,000",burlington.com,1997-03-12,US,,
Regions Financial,RF,"$6,093,000,000",regions.com,2000-04-13,US,,
AK Steel Holding,,"$6,080,000,000",aksteel.com,1995-12-18,US,,
Securian Financial Group,,"$6,066,000,000",securian.com,1998-04-03,US,,
S&P Global,SPGI,"$6,063,000,000",spglobal.com,1998-10-23,US,,
Markel,MKL,"$6,061,000,000",markelcorp.com,1995-05-28,US,,
TravelCenters of America,TA,"$6,051,000,000",ta-petro.com,2010-09-04,US,,
Conduent,CNDT,"$6,022,000,000",conduent.com,2016-03-21,US,,
M&T Bank Corp.,MTB,"$6,018,000,000",mtb.com,2000-11-13,US,,
Clorox,CLX,"$5,973,000,000",thecloroxcompany.com,2004-09-18,US,,
AmTrust Financial Services,,"$5,958,000,000",amtrustfinancial.com,1999-03-07,US,,
KKR,,"$5,930,000,000",kkr.com,1995-10-17,US,,
Ulta Beauty,ULTA,"$5,884,000,000",ulta.com,1998-02-27,US,,
Yum Brands,YUM,"$5,878,000,000",yum.com,1998-05-22,US,,
Regeneron Pharmaceuticals,REGN,"$5,872,000,000",regeneron.com,1997-10-07,US,,
Windstream Holdings,,"$5,852,000,000",windstream.com,1997-05-20,US,,
Magellan Health,MGLN,"$5,838,000,000",magellanhealth.com,1996-09-26,US,,
Western & Southern Financial,,"$5,836,000,000",westernsouthern.com,1997-08-08,US,,
Intercontinental Exchange,ICE,"$5,834,000,000",theice.com,1999-11-12,US,,
Ingredion,INGR,"$5,832,000,000",ingredion.com,2011-07-26,US,,
Wyndham Destinations,TNL,"$5,821,000,000",wyndhamdestinations.com,2003-02-10,US,,
Toll Brothers,TOL,"$5,815,000,000",tollbrothers.com,1996-03-01,US,,
Seaboard,,"$5,809,000,000",seaboardcorp.com,1996-09-13,US,,
Booz Allen Hamilton,BAH,"$5,804,000,000",boozallen.com,1999-09-27,US,,
First American Financial,,"$5,772,000,000",firstam.com,1993-04-16,US,,
Cincinnati Financial,CINF,"$5,732,000,000",cinfin.com,1995-05-12,US,,
Avon Products,,"$5,715,000,000",avoninvestor.com,2002-06-11,US,,
Northern Trust,NTRS,"$5,715,000,000",northerntrust.com,1996-07-23,US,,
Fiserv,FISV,"$5,696,000,000",fiserv.com,1993-02-11,US,,
Harley-Davidson,HOG,"$5,647,000,000",harley-davidson.com,1994-08-11,US,,
Cheniere Energy,LNG,"$5,601,000,000",cheniere.com,1998-01-16,US,,
Patterson,,"$5,593,000,000",pattersoncompanies.com,1999-08-04,US,,
Peabody Energy,BTU,"$5,578,000,000",peabodyenergy.com,2001-02-28,US,,
ON Semiconductor,ON,"$5,543,000,000",onsemi.com,1999-07-15,US,,
Simon Property Group,SPG,"$5,538,000,000",simon.com,1997-08-21,US,,
Western Union,WU,"$5,524,000,000",westernunion.com,1995-08-10,US,,
NetApp,NTAP,"$5,519,000,000",netapp.com,1992-12-08,US,,
Polaris Industries,PII,"$5,504,000,000",polaris.com,1992-08-19,US,,
Pioneer Natural Resources,PXD,"$5,455,000,000",pxd.com,1998-07-08,US,,
ABM Industries,ABM,"$5,453,000,000",abm.com,1997-01-30,US,,
Vistra Energy,VST,"$5,430,000,000",vistraenergy.com,2016-05-18,US,,
Cintas,CTAS,"$5,428,000,000",cintas.com,1995-08-19,US,,
